A_step,A_exx,A_eyy,A_exy,A_rix,A_riy,A_rjx,A_rjy,A_rr_absx,A_rr_absy,A_rr_abs,A_rr_minx,A_rr_miny,A_rr_min,A_rr_fixx,A_rr_fixy,A_rr_fix,A_v1x,A_v1y,A_v2x,A_v2y,A_Lx,A_Ly,A_Dxy,
 57.0000, 0.0000 , 0.5700 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 19.6250, 0.0000 , 19.6250, 19.6250, 0.0000 , -0.3750, 0.3750 , 0.0000 , 9.6250 , 9.6250 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 58.0000, 0.0000 , 0.5800 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 19.7500, 0.0000 , 19.7500, 19.7500, 0.0000 , -0.2500, 0.2500 , 0.0000 , 9.7500 , 9.7500 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 59.0000, 0.0000 , 0.5900 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 19.8750, 0.0000 , 19.8750, 19.8750, 0.0000 , -0.1250, 0.1250 , 0.0000 , 9.8750 , 9.8750 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 60.0000, 0.0000 , 0.6000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 20.0000, 0.0000 , 20.0000, 20.0000, 0.0000 , 0.0000 , 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 61.0000, 0.0000 , 0.6100 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 20.1250, 0.0000 , 20.1250, 20.1250, 0.0000 , 0.1250 , 0.1250 , 0.0000 , 10.1250, 10.1250, 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 62.0000, 0.0000 , 0.6200 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 20.2500, 0.0000 , 20.2500, 20.2500, 0.0000 , 0.2500 , 0.2500 , 0.0000 , 10.2500, 10.2500, 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 63.0000, 0.0000 , 0.6300 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 20.3750, 0.0000 , 20.3750, 20.3750, 0.0000 , 0.3750 , 0.3750 , 0.0000 , 10.3750, 10.3750, 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 64.0000, 0.0000 , 0.6400 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 20.5000, 0.0000 , 20.5000, 20.5000, 0.0000 , 0.5000 , 0.5000 , 0.0000 , 10.5000, 10.5000, 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 65.0000, 0.0000 , 0.6500 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 20.6250, 0.0000 , 20.6250, 20.6250, 0.0000 , 0.6250 , 0.6250 , 0.0000 , 10.6250, 10.6250, 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 66.0000, 0.0000 , 0.6600 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 20.7500, 0.0000 , 20.7500, 20.7500, 0.0000 , 0.7500 , 0.7500 , 0.0000 , 10.7500, 10.7500, 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 67.0000, 0.0000 , 0.6700 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 20.8750, 0.0000 , 20.8750, 20.8750, 0.0000 , 0.8750 , 0.8750 , 0.0000 , 10.8750, 10.8750, 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 68.0000, 0.0000 , 0.6800 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 21.0000, 0.0000 , 21.0000, 21.0000, 0.0000 , 1.0000 , 1.0000 , 0.0000 , 11.0000, 11.0000, 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 69.0000, 0.0000 , 0.6900 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 21.1250, 0.0000 , 21.1250, 21.1250, 0.0000 , 1.1250 , 1.1250 , 0.0000 , 11.1250, 11.1250, 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 70.0000, 0.0000 , 0.7000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 21.2500, 0.0000 , 21.2500, 21.2500, 0.0000 , 1.2500 , 1.2500 , 0.0000 , 11.2500, 11.2500, 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 71.0000, 0.0000 , 0.7100 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 21.3750, 0.0000 , 21.3750, 21.3750, 0.0000 , 1.3750 , 1.3750 , 0.0000 , 11.3750, 11.3750, 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 72.0000, 0.0000 , 0.7200 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 21.5000, 0.0000 , 21.5000, 21.5000, 0.0000 , 1.5000 , 1.5000 , 0.0000 , 11.5000, 11.5000, 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 73.0000, 0.0000 , 0.7300 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 21.6250, 0.0000 , 21.6250, 21.6250, 0.0000 , 1.6250 , 1.6250 , 0.0000 , 11.6250, 11.6250, 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
